Época	Error cuadrático	Array de pesos
0	1,13337846514	
1	1,02389795434	
2	0,930195620688	
3	0,851243239718	
4	0,784906466459	
5	0,728780426982	
6	0,680730953838	
7	0,639057593728	
8	0,602459915361	
9	0,569952325334	
10	0,540785350944	
11	0,514385151577	
12	0,490308849776	
13	0,468211497008	
14	0,447821503827	
15	0,428922358345	
16	0,411339070767	
17	0,394928161922	
18	0,379570285004	
19	0,365164784266	
20	0,351625667375	
21	0,338878605026	
22	0,326858676262	
23	0,315508656345	
24	0,304777701272	
25	0,294620324309	
26	0,284995589398	
27	0,275866467225	
28	0,267199314594	
29	0,258963448334	
30	0,251130792503	
31	0,243675583067	
32	0,236574118162	
33	0,229804544905	
34	0,223346675808	
35	0,217181829447	
36	0,21129269116	
37	0,205663190479	
38	0,200278392642	
39	0,195124402068	
40	0,190188276061	
41	0,185457947356	
42	0,180922154315	
43	0,176570377839	
44	0,172392784154	
45	0,168380172811	
46	0,164523929304	
47	0,160815981807	
48	0,157248761601	
49	0,15381516682	
50	0,15050852918	
51	0,147322583409	
52	0,144251439127	
53	0,141289554946	
54	0,138431714588	
55	0,135673004849	
56	0,133008795247	
57	0,130434719204	
58	0,127946656638	
59	0,125540717843	
60	0,123213228561	
61	0,120960716129	
62	0,118779896641	
63	0,116667663013	
64	0,114621073912	
65	0,112637343455	
66	0,110713831631	
67	0,108848035388	
68	0,107037580336	
69	0,10528021301	
70	0,103573793669	
71	0,101916289566	
72	0,100305768681	
73	0,0987403938598	
74	0,0972184173441	
75	0,0957381756562	
76	0,0942980848169	
77	0,0928966358713	
78	0,0915323906998	
79	0,0902039780953	
80	0,0889100900878	
81	0,0876494784982	
82	0,0864209517062	
83	0,0852233716175	
84	0,0840556508163	
85	0,082916749891	
86	0,0818056749208	
87	0,0807214751126	
88	0,0796632405788	
89	0,0786301002457	
90	0,0776212198847	
91	0,0766358002576	
92	0,0756730753693	
93	0,0747323108204	
94	0,0738128022535	
95	0,0729138738874	
96	0,0720348771336	
97	0,0711751892894	
98	0,0703342123037	
99	0,0695113716103	
100	0,068706115025	
101	0,067917911702	
102	0,067146251147	
103	0,0663906422824	
104	0,0656506125623	
105	0,0649257071341	
106	0,0642154880436	
107	0,063519533482	
108	0,0628374370712	
109	0,0621688071854	
110	0,0615132663083	
111	0,0608704504214	
112	0,060240008424	
113	0,0596216015816	
114	0,0590149030016	
115	0,0584195971353	
116	0,0578353793031	
117	0,0572619552439	
118	0,0566990406857	
119	0,0561463609365	
120	0,055603650495	
121	0,0550706526796	
122	0,054547119275	
123	0,0540328101945	
124	0,053527493159	
125	0,0530309433903	
126	0,0525429433178	
127	0,0520632822997	
128	0,0515917563561	
129	0,0511281679136	
130	0,0506723255628	
131	0,0502240438246	
132	0,0497831429284	
133	0,0493494485991	
134	0,0489227918537	
135	0,0485030088064	
136	0,0480899404826	
137	0,0476834326403	
138	0,0472833355991	
139	0,0468895040771	
140	0,0465017970334	
141	0,0461200775185	
142	0,0457442125299	
143	0,0453740728742	
144	0,0450095330344	
