Época	Error de test	Error train	Array de pesos
0	0,344086021505	0,345238095238	
1	0,279569892473	0,300595238095	
2	0,279569892473	0,300595238095	
3	0,336917562724	0,309523809524	
4	0,336917562724	0,309523809524	
5	0,26523297491	0,252976190476	
6	0,26523297491	0,252976190476	
7	0,26164874552	0,252976190476	
8	0,254480286738	0,25	
9	0,254480286738	0,25	
10	0,254480286738	0,25	
11	0,254480286738	0,25	
12	0,254480286738	0,25	
13	0,26164874552	0,252976190476	
14	0,26164874552	0,252976190476	
15	0,26164874552	0,252976190476	
16	0,26164874552	0,252976190476	
17	0,26164874552	0,25	
18	0,26164874552	0,25	
19	0,258064516129	0,247023809524	
20	0,258064516129	0,247023809524	
