Época	Error cuadrático	Array de pesos
0	1,02061413146	
1	1,0205562786	
2	1,02049854401	
3	1,0204409275	
4	1,02038342886	
5	1,02032604788	
6	1,02026878437	
7	1,02021163811	
8	1,02015460892	
9	1,02009769658	
10	1,02004090089	
11	1,01998422166	
12	1,01992765867	
13	1,01987121172	
14	1,01981488062	
15	1,01975866516	
16	1,01970256514	
17	1,01964658036	
18	1,01959071062	
19	1,01953495571	
20	1,01947931543	
21	1,01942378959	
22	1,01936837798	
23	1,0193130804	
24	1,01925789665	
25	1,01920282653	
26	1,01914786984	
27	1,01909302638	
28	1,01903829595	
29	1,01898367835	
30	1,01892917338	
31	1,01887478084	
32	1,01882050053	
33	1,01876633226	
34	1,01871227581	
35	1,018658331	
36	1,01860449763	
37	1,01855077549	
38	1,01849716439	
39	1,01844366412	
40	1,0183902745	
41	1,01833699533	
42	1,0182838264	
43	1,01823076751	
44	1,01817781848	
45	1,0181249791	
46	1,01807224918	
47	1,01801962852	
48	1,01796711692	
49	1,01791471418	
50	1,01786242011	
51	1,01781023452	
52	1,01775815721	
53	1,01770618797	
54	1,01765432662	
55	1,01760257296	
56	1,01755092679	
57	1,01749938793	
58	1,01744795616	
59	1,01739663131	
60	1,01734541317	
61	1,01729430155	
62	1,01724329625	
63	1,01719239709	
64	1,01714160386	
65	1,01709091638	
66	1,01704033445	
67	1,01698985787	
68	1,01693948645	
69	1,01688922001	
70	1,01683905834	
71	1,01678900126	
72	1,01673904857	
73	1,01668920008	
74	1,0166394556	
75	1,01658981493	
76	1,01654027789	
77	1,01649084427	
78	1,0164415139	
79	1,01639228658	
80	1,01634316212	
81	1,01629414033	
82	1,01624522101	
83	1,01619640398	
84	1,01614768905	
85	1,01609907602	
86	1,01605056471	
87	1,01600215493	
88	1,01595384648	
89	1,01590563919	
90	1,01585753285	
91	1,01580952728	
92	1,0157616223	
93	1,01571381771	
94	1,01566611333	
95	1,01561850896	
96	1,01557100442	
97	1,01552359952	
98	1,01547629408	
99	1,01542908791	
100	1,01538198082	
101	1,01533497262	
102	1,01528806312	
103	1,01524125215	
104	1,01519453951	
105	1,01514792502	
106	1,01510140849	
107	1,01505498974	
108	1,01500866859	
109	1,01496244483	
110	1,0149163183	
111	1,01487028881	
112	1,01482435617	
113	1,01477852019	
114	1,0147327807	
115	1,01468713751	
116	1,01464159044	
117	1,0145961393	
118	1,01455078391	
119	1,01450552408	
120	1,01446035964	
121	1,0144152904	
122	1,01437031618	
123	1,0143254368	
124	1,01428065207	
125	1,01423596181	
126	1,01419136585	
127	1,01414686399	
128	1,01410245607	
129	1,01405814189	
130	1,01401392128	
131	1,01396979405	
132	1,01392576004	
133	1,01388181905	
134	1,0138379709	
135	1,01379421543	
136	1,01375055244	
137	1,01370698176	
138	1,01366350321	
139	1,01362011662	
140	1,01357682179	
141	1,01353361856	
142	1,01349050675	
143	1,01344748617	
144	1,01340455666	
145	1,01336171803	
146	1,01331897011	
147	1,01327631272	
148	1,01323374568	
149	1,01319126882	
150	1,01314888196	
151	1,01310658493	
152	1,01306437754	
153	1,01302225963	
154	1,01298023101	
155	1,01293829152	
156	1,01289644098	
157	1,0128546792	
158	1,01281300603	
159	1,01277142129	
160	1,01272992479	
161	1,01268851638	
162	1,01264719586	
163	1,01260596308	
164	1,01256481786	
165	1,01252376001	
166	1,01248278939	
167	1,0124419058	
168	1,01240110908	
169	1,01236039905	
170	1,01231977556	
171	1,01227923841	
172	1,01223878744	
173	1,01219842249	
174	1,01215814338	
175	1,01211794993	
176	1,01207784199	
177	1,01203781937	
178	1,01199788191	
179	1,01195802945	
180	1,0119182618	
181	1,01187857881	
182	1,0118389803	
183	1,0117994661	
184	1,01176003605	
185	1,01172068998	
186	1,01168142772	
187	1,0116422491	
188	1,01160315395	
189	1,01156414211	
190	1,01152521341	
191	1,01148636769	
192	1,01144760477	
193	1,0114089245	
194	1,0113703267	
195	1,01133181121	
196	1,01129337786	
197	1,01125502649	
198	1,01121675693	
199	1,01117856902	
200	1,0111404626	
201	1,0111024375	
202	1,01106449355	
203	1,01102663059	
204	1,01098884846	
205	1,01095114699	
206	1,01091352603	
207	1,0108759854	
208	1,01083852495	
209	1,01080114452	
210	1,01076384393	
211	1,01072662303	
212	1,01068948166	
213	1,01065241966	
214	1,01061543686	
215	1,0105785331	
216	1,01054170823	
217	1,01050496208	
218	1,01046829449	
219	1,0104317053	
220	1,01039519435	
221	1,01035876149	
222	1,01032240655	
223	1,01028612937	
224	1,01024992979	
225	1,01021380767	
226	1,01017776283	
227	1,01014179512	
228	1,01010590438	
229	1,01007009046	
230	1,01003435319	
231	1,00999869242	
232	1,009963108	
233	1,00992759976	
234	1,00989216755	
235	1,00985681121	
236	1,00982153059	
237	1,00978632553	
238	1,00975119588	
239	1,00971614147	
240	1,00968116217	
241	1,0096462578	
242	1,00961142822	
243	1,00957667327	
244	1,0095419928	
245	1,00950738665	
246	1,00947285467	
247	1,00943839671	
248	1,00940401262	
249	1,00936970223	
250	1,00933546541	
251	1,00930130198	
252	1,00926721182	
253	1,00923319475	
254	1,00919925064	
255	1,00916537932	
256	1,00913158065	
257	1,00909785448	
258	1,00906420065	
259	1,00903061902	
260	1,00899710944	
261	1,00896367175	
262	1,0089303058	
263	1,00889701145	
264	1,00886378855	
265	1,00883063695	
266	1,00879755649	
267	1,00876454703	
268	1,00873160843	
269	1,00869874053	
270	1,00866594319	
271	1,00863321626	
272	1,00860055958	
273	1,00856797303	
274	1,00853545643	
275	1,00850300966	
276	1,00847063257	
277	1,008438325	
278	1,00840608681	
279	1,00837391787	
280	1,00834181801	
281	1,0083097871	
282	1,00827782499	
283	1,00824593153	
284	1,00821410659	
285	1,00818235002	
286	1,00815066166	
287	1,00811904139	
288	1,00808748906	
289	1,00805600452	
290	1,00802458763	
291	1,00799323825	
292	1,00796195623	
293	1,00793074143	
294	1,00789959372	
295	1,00786851294	
296	1,00783749896	
297	1,00780655163	
298	1,00777567083	
299	1,00774485639	
300	1,00771410819	
301	1,00768342608	
302	1,00765280992	
303	1,00762225957	
304	1,0075917749	
305	1,00756135576	
306	1,00753100202	
307	1,00750071353	
308	1,00747049016	
309	1,00744033176	
310	1,00741023821	
311	1,00738020935	
312	1,00735024506	
313	1,0073203452	
