Época	Error cuadrático	Array de pesos
0	1,21544667056	
1	1,21467431334	
2	1,21390359488	
3	1,21313451687	
4	1,21236708096	
5	1,21160128876	
6	1,21083714183	
7	1,2100746417	
8	1,20931378983	
9	1,20855458768	
10	1,20779703664	
11	1,20704113807	
12	1,20628689327	
13	1,20553430352	
14	1,20478337006	
15	1,20403409407	
16	1,20328647669	
17	1,20254051905	
18	1,20179622219	
19	1,20105358716	
20	1,20031261493	
21	1,19957330645	
22	1,19883566261	
23	1,19809968429	
24	1,1973653723	
25	1,19663272743	
26	1,19590175042	
27	1,19517244198	
28	1,19444480275	
29	1,19371883336	
30	1,19299453441	
31	1,19227190642	
32	1,19155094991	
33	1,19083166533	
34	1,19011405311	
35	1,18939811364	
36	1,18868384726	
37	1,18797125429	
38	1,18726033498	
39	1,18655108958	
40	1,18584351827	
41	1,1851376212	
42	1,1844333985	
43	1,18373085025	
44	1,18302997647	
45	1,18233077718	
46	1,18163325234	
47	1,18093740188	
48	1,18024322569	
49	1,17955072362	
50	1,17885989548	
51	1,17817074107	
52	1,17748326012	
53	1,17679745234	
54	1,1761133174	
55	1,17543085493	
56	1,17475006454	
57	1,17407094579	
58	1,1733934982	
59	1,17271772127	
60	1,17204361445	
61	1,17137117718	
62	1,17070040882	
63	1,17003130875	
64	1,16936387627	
65	1,16869811067	
66	1,1680340112	
67	1,16737157708	
68	1,16671080748	
69	1,16605170157	
70	1,16539425844	
71	1,16473847719	
72	1,16408435686	
73	1,16343189647	
74	1,162781095	
75	1,16213195141	
76	1,16148446462	
77	1,1608386335	
78	1,16019445692	
79	1,15955193371	
80	1,15891106264	
81	1,15827184249	
82	1,15763427199	
83	1,15699834983	
84	1,15636407468	
85	1,15573144518	
86	1,15510045994	
87	1,15447111753	
88	1,15384341652	
89	1,1532173554	
90	1,15259293268	
91	1,15197014682	
92	1,15134899624	
93	1,15072947934	
94	1,15011159451	
95	1,14949534009	
96	1,14888071439	
97	1,14826771571	
98	1,1476563423	
99	1,14704659241	
100	1,14643846423	
101	1,14583195596	
102	1,14522706573	
103	1,14462379169	
104	1,14402213193	
105	1,14342208452	
106	1,14282364752	
107	1,14222681894	
108	1,14163159679	
109	1,14103797903	
110	1,14044596361	
111	1,13985554846	
112	1,13926673147	
113	1,13867951051	
114	1,13809388344	
115	1,13750984807	
116	1,13692740222	
117	1,13634654365	
118	1,13576727012	
119	1,13518957936	
120	1,13461346908	
121	1,13403893697	
122	1,13346598069	
123	1,13289459787	
124	1,13232478615	
125	1,13175654311	
126	1,13118986633	
127	1,13062475337	
128	1,13006120175	
129	1,129499209	
130	1,1289387726	
131	1,12837989003	
132	1,12782255873	
133	1,12726677613	
134	1,12671253966	
135	1,12615984669	
136	1,12560869461	
137	1,12505908076	
138	1,12451100248	
139	1,12396445708	
140	1,12341944187	
141	1,12287595411	
142	1,12233399108	
143	1,12179355001	
144	1,12125462814	
145	1,12071722266	
146	1,12018133077	
147	1,11964694965	
148	1,11911407645	
149	1,11858270831	
150	1,11805284235	
151	1,1175244757	
152	1,11699760542	
153	1,11647222862	
154	1,11594834234	
155	1,11542594363	
156	1,11490502952	
157	1,11438559704	
158	1,11386764318	
159	1,11335116492	
160	1,11283615925	
161	1,11232262312	
162	1,11181055348	
163	1,11129994726	
164	1,11079080138	
165	1,11028311274	
166	1,10977687824	
167	1,10927209475	
