Época	Error train	Array de pesos
0	0.998731497903	
1	0.998176825325	
2	0.997632597748	
3	0.997098611546	
4	0.996574667195	
5	0.996060569205	
6	0.995556126054	
7	0.99506115012	
8	0.99457545762	
9	0.994098868535	
10	0.993631206552	
11	0.993172298991	
12	0.992721976745	
13	0.992280074209	
14	0.991846429221	
15	0.991420882992	
16	0.991003280045	
17	0.990593468153	
18	0.990191298273	
19	0.989796624487	
20	0.989409303938	
21	0.989029196773	
22	0.988656166081	
23	0.988290077835	
24	0.987930800836	
25	0.98757820665	
26	0.987232169559	
27	0.986892566502	
28	0.98655927702	
29	0.986232183203	
30	0.98591116964	
31	0.985596123363	
32	0.9852869338	
33	0.984983492721	
34	0.984685694193	
35	0.984393434531	
36	0.984106612246	
37	0.983825128008	
38	0.98354888459	
39	0.983277786831	
40	0.983011741589	
41	0.9827506577	
42	0.982494445933	
43	0.98224301895	
44	0.98199629127	
45	0.981754179221	
46	0.981516600908	
47	0.981283476172	
48	0.981054726555	
49	0.980830275259	
50	0.980610047118	
51	0.980393968553	
52	0.980181967548	
53	0.979973973609	
54	0.979769917733	
55	0.97956973238	
56	0.979373351435	
57	0.979180710181	
58	0.97899174527	
59	0.97880639469	
60	0.978624597737	
61	0.978446294991	
62	0.97827142828	
63	0.978099940662	
64	0.977931776391	
65	0.977766880897	
66	0.977605200756	
67	0.977446683666	
68	0.977291278426	
69	0.977138934908	
70	0.976989604037	
71	0.976843237764	
72	0.97669978905	
73	0.976559211836	
74	0.976421461031	
75	0.976286492482	
76	0.976154262959	
77	0.976024730135	
78	0.975897852562	
79	0.975773589658	
80	0.975651901683	
81	0.975532749722	
82	0.97541609567	
83	0.97530190221	
84	0.975190132798	
85	0.975080751647	
86	0.974973723708	
87	0.974869014655	
88	0.974766590872	
89	0.974666419431	
90	0.974568468085	
91	0.974472705245	
92	0.974379099973	
93	0.974287621962	
94	0.974198241525	
95	0.974110929581	
96	0.974025657642	
97	0.973942397798	
98	0.973861122708	
99	0.973781805583	
100	0.973704420179	
101	0.973628940779	
102	0.973555342187	
103	0.973483599714	
104	0.973413689164	
105	0.973345586831	
106	0.973279269478	
107	0.973214714337	
108	0.973151899089	
109	0.973090801862	
110	0.973031401216	
111	0.972973676135	
112	0.972917606019	
113	0.972863170674	
114	0.972810350301	
115	0.972759125489	
116	0.972709477207	
117	0.972661386795	
118	0.972614835954	
119	0.972569806742	
120	0.972526281562	
121	0.972484243157	
122	0.972443674598	
123	0.972404559286	
124	0.972366880933	
125	0.972330623563	
126	0.972295771505	
127	0.972262309381	
128	0.972230222104	
129	0.972199494869	
130	0.972170113148	
131	0.972142062684	
132	0.972115329484	
133	0.972089899814	
134	0.972065760193	
135	0.972042897384	
136	0.972021298397	
137	0.972000950473	
138	0.971981841087	
139	0.971963957938	
140	0.971947288947	
141	0.971931822249	
142	0.971917546191	
143	0.971904449325	
144	0.971892520406	
145	0.971881748384	
146	0.971872122403	
147	0.971863631794	
148	0.971856266073	
149	0.971850014935	
150	0.97184486825	
151	0.971840816062	
152	0.97183784858	
153	0.97183595618	
154	0.971835129395	
155	0.971835358918	
156	0.971836635593	
157	0.971838950414	
158	0.971842294524	
159	0.971846659205	
160	0.971852035882	
161	0.971858416114	
162	0.971865791597	
163	0.971874154153	
164	0.971883495737	
165	0.971893808423	
166	0.971905084412	
167	0.971917316021	
168	0.971930495683	
169	0.971944615948	
170	0.971959669475	
171	0.97197564903	
172	0.971992547489	
173	0.972010357828	
174	0.972029073129	
175	0.972048686568	
176	0.972069191421	
177	0.972090581059	
178	0.972112848944	
179	0.972135988629	
180	0.972159993756	
181	0.972184858051	
182	0.972210575329	
183	0.972237139482	
184	0.972264544487	
185	0.972292784397	
186	0.972321853344	
187	0.972351745534	
188	0.972382455247	
189	0.972413976834	
190	0.972446304718	
191	0.97247943339	
192	0.972513357405	
193	0.972548071389	
194	0.972583570028	
195	0.972619848071	
196	0.972656900331	
197	0.972694721676	
198	0.972733307038	
199	0.972772651401	
200	0.972812749807	
201	0.972853597353	
202	0.972895189189	
203	0.972937520516	
204	0.972980586587	
205	0.973024382704	
206	0.973068904218	
207	0.973114146527	
208	0.973160105075	
209	0.973206775352	
210	0.973254152894	
211	0.973302233276	
212	0.973351012119	
213	0.973400485083	
214	0.97345064787	
215	0.973501496221	
216	0.973553025915	
217	0.973605232768	
218	0.973658112635	
219	0.973711661406	
220	0.973765875004	
221	0.973820749389	
222	0.973876280554	
223	0.973932464524	
224	0.973989297357	
225	0.97404677514	
226	0.974104893994	
227	0.974163650067	
228	0.974223039538	
229	0.974283058614	
230	0.974343703528	
231	0.974404970543	
232	0.974466855948	
233	0.974529356056	
234	0.974592467208	
235	0.974656185767	
236	0.974720508124	
237	0.974785430689	
238	0.974850949899	
239	0.974917062211	
240	0.974983764107	
241	0.975051052087	
242	0.975118922674	
243	0.975187372412	
244	0.975256397865	
245	0.975325995614	
246	0.975396162264	
247	0.975466894433	
