Época	Error de test	Error train	Array de pesos
0	0,358744394619	0,337037037037	
1	0,295964125561	0,307407407407	
2	0,269058295964	0,311111111111	
3	0,237668161435	0,281481481481	
4	0,237668161435	0,262962962963	
5	0,219730941704	0,259259259259	
6	0,210762331839	0,255555555556	
7	0,215246636771	0,244444444444	
8	0,206278026906	0,237037037037	
9	0,210762331839	0,233333333333	
10	0,201793721973	0,233333333333	
11	0,206278026906	0,233333333333	
12	0,201793721973	0,233333333333	
13	0,201793721973	0,233333333333	
14	0,206278026906	0,233333333333	
15	0,206278026906	0,233333333333	
